queries,MAL,QL_chars,QL_words,task_category,modality_type,temporal_scope_level,urgency_level,personalization_depth,requires_aggregation,requires_generation,requires_historical_search,output_cardinality_expectation,stakes_importance_level,social_context_present,device_context_implicit,comparison_task,list_ordering_required,media_transformation,calendar_or_schedule_related,finance_or_spending_related,health_fitness_related,shopping_or_commerce_related,entertainment_media_related,requires_external_like_search,multi_source_integration,contains_explicit_time_budget,time_reference_recency,explicit_counting_or_frequency,explicit_comparison_target_num,question_specificity_level,output_format_structured,output_format_media,named_person_count,contains_location_context,contains_goal_or_target,contains_discount_or_savings_focus,contains_emotional_or_preference_inference,historical_span_complexity,contains_relative_change_request,context_now_or_here,contains_family_or_important_relationship,media_volume_implied,analysis_vs_lookup_balance
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,18,4,retrieve_media,video,2,2,1,0,0,1,1,1,0,entertainment_context,0,0,0,0,0,1,0,1,0,0,0,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,1
지난주에 찍은 헬스 자세 영상 보여줘,18.18,19,4,retrieve_media,video,2,2,1,0,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,1,0,0,1,0,0,1,0,0,0,1,1
지난주에 찍은 요가 동작 영상 보여줘,26.8976,20,4,retrieve_media,video,2,2,1,0,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,1,0,0,1,0,0,1,0,0,0,1,1
지난주에 찍은 등산 영상 보여줘,7.4636,16,4,retrieve_media,video,2,2,1,0,0,1,1,1,0,entertainment_context,0,0,0,0,0,1,0,1,0,0,0,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,1
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,19,5,retrieve_media,photo_image,2,2,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,18,5,retrieve_media,photo_image,2,2,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,19,5,retrieve_media,photo_image,2,3,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,18,5,retrieve_media,photo_image,2,2,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,33,6,retrieve_media,video,2,2,1,0,0,1,1,1,1,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,1
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,30,6,retrieve_media,entertainment_media,2,2,1,0,0,1,1,1,1,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,1
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,31,6,retrieve_media,entertainment_media,2,2,1,0,0,1,1,1,1,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,1
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,31,6,retrieve_media,entertainment_media,2,2,1,0,0,1,1,1,1,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,1
지민이 결혼식 일정 알려줘,11.6698,13,4,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,3,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1
지민이 졸업식 일정 알려줘,15.3752,13,4,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,3,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1
지민이 돌잔치 일정 알려줘,15.7295,12,4,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,3,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1
지민이 생일 알려줘,12.1895,9,3,retrieve_personal_log,calendar/schedule,1,2,1,0,0,0,1,2,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1
사려고 찍어둔 와인 사진 다 보여줘,26.8335,18,5,retrieve_media,photo_image,4,2,1,1,0,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,2,2
사려고 찍어둔 신발 사진 다 보여줘,24.4891,18,5,retrieve_media,photo_image,4,2,1,1,0,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,2,2
사려고 찍어둔 옷 사진 다 보여줘,31.3977,17,5,retrieve_media,photo_image,4,2,1,1,0,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,2,2
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,20,5,retrieve_media,photo_image,4,2,1,1,0,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,2,2
지난주 작성한 강의 필기 찾아줘,26.106,15,4,retrieve_personal_log,text_note,2,2,2,0,0,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,1
지난주 작성한 노트 찾아줘,24.2368,12,4,retrieve_personal_log,text_note,2,2,2,0,0,1,2,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,1
지난 주에 찍어둔 강의 영상 찾아줘,20.803,17,5,retrieve_media,video,2,2,2,0,0,1,2,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,1,0,0,1,0,0,0,2,1
지난주 작성한 메모 찾아줘,11.5135,11,4,retrieve_personal_log,text_note,2,2,2,0,0,1,2,1,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,1
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,21,6,retrieve_media,photo_image,3,2,2,0,0,1,2,2,0,entertainment_context,0,0,0,0,0,1,0,1,0,0,0,3,0,1,2,0,1,0,1,1,0,0,6,0,0,1,2,1
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,21,6,retrieve_media,photo_image,3,2,2,0,0,1,2,2,0,entertainment_context,0,0,0,0,0,1,0,1,0,0,0,3,0,1,2,0,1,0,1,1,0,0,6,0,0,1,2,1
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,21,6,retrieve_media,photo_image,3,2,2,0,0,1,2,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,1,0,1,1,0,0,6,0,0,1,2,1
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,23,6,retrieve_media,photo_image,3,2,2,0,0,1,2,2,0,entertainment_context,0,0,0,0,0,1,0,1,0,0,0,3,0,1,2,0,1,0,1,1,0,0,6,0,0,1,2,1
내 여권 사진 찾아줘,18.3003,9,4,retrieve_media,photo_image,4,3,2,0,0,0,1,3,0,home_planning,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,12,0,0,1,1,1
주말에 찍은 반려동물 사진 찾아줘,13.2361,16,5,retrieve_media,photo_image,2,2,2,0,0,1,2,2,1,home_planning,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,1,1,0,0,1,0,0,1,2,1
가족이랑 찍은 사진 찾아줘,26.9289,13,4,retrieve_media,photo_image,4,2,2,0,0,1,2,3,1,home_planning,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,1,0,0,1,0,0,24,0,0,1,2,1
친구들과 함께 찍은 사진 찾아줘,26.0997,14,4,retrieve_media,photo_image,4,2,2,0,0,1,2,2,1,home_planning,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,1,0,0,1,0,0,24,0,0,1,2,1
봄에 갔던 골프장 어디였지?,20.9377,11,4,retrieve_personal_log,location/places,4,2,2,0,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,1,0,0,6,0,0,0,1,1
여름에 갔던 산 어디였지?,13.8776,10,4,retrieve_personal_log,location/places,4,2,2,0,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,1,0,0,6,0,0,0,1,1
주말에 갔던 라이딩 코스 어디였지?,18.0121,14,5,retrieve_personal_log,location/places,2,2,2,0,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,1
가을에 갔던 공원 어디였지?,25.1263,11,4,retrieve_personal_log,location/places,4,2,2,0,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,1,0,0,6,0,0,0,1,1
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,18,7,retrieve_personal_log,finance/transactions,1,2,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,18,7,retrieve_personal_log,finance/transactions,1,2,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,20,8,retrieve_personal_log,finance/transactions,1,2,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,17,8,retrieve_personal_log,finance/transactions,1,2,2,0,0,1,1,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,20,7,retrieve_personal_log,audio/music,1,2,2,0,0,1,2,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,1
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,19,8,retrieve_personal_log,audio/music,1,2,2,0,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,1
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,19,7,retrieve_personal_log,audio/music,1,2,2,0,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,1
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,21,7,retrieve_personal_log,audio/music,1,2,2,0,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,1
내일 지원이랑 어디서 만나기로 했지?,15.6107,15,5,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,2,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
내일 지원이랑 언제 만나기로 했지?,11.9332,14,5,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,2,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,15,6,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,2,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,17,6,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,2,1,home_planning,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,21,7,retrieve_personal_log,shopping/commerce,3,2,2,0,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,1,0,0,12,0,0,0,1,1
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,19,7,retrieve_personal_log,shopping/commerce,3,2,2,0,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,1,0,0,12,0,0,0,1,1
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,28,8,retrieve_personal_log,location/places,3,2,2,0,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,1,1,0,0,12,0,0,0,1,1
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,26,8,retrieve_personal_log,location/places,3,2,2,0,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,1,1,0,0,12,0,0,0,1,1
오늘 미팅 장소와 시간은 어디지?,14.0835,14,5,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,3,0,work/productivity,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1
오늘 약속 장소와 시간은 어디지?,6.7843,14,5,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,3,0,home_planning,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1
오늘 세미나 장소와 시간은 어디지?,20.0484,15,5,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,2,0,work/productivity,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1
오늘 회의 장소와 시간은 어디지?,11.4985,15,5,retrieve_personal_log,calendar/schedule,1,3,1,0,0,0,1,3,0,work/productivity,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,24,6,retrieve_personal_log,location/places,3,2,2,0,0,1,1,2,0,home_planning,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,1,0,0,12,0,0,1,1,1
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983,22,7,retrieve_personal_log,location/places,3,2,2,0,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,1,0,0,6,0,0,0,1,1
부모님 생신 때 갔던 호텔 어디였지?,14.627,20,6,retrieve_personal_log,location/places,1,2,2,0,0,1,1,3,1,home_planning,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,1,1,1,0,0,12,0,0,1,1,1
친구 결혼식 때 갔던 식장 어디였지?,21.6479,23,6,retrieve_personal_log,location/places,3,2,2,0,0,1,1,3,1,home_planning,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,1,0,0,12,0,0,1,1,1
성훈이랑 최근에 언제 만났더라?,14.5831,13,4,retrieve_personal_log,text_note,1,2,2,0,0,1,1,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,1
성훈이랑 최근에 어디서 만났더라?,17.0392,15,4,retrieve_personal_log,location/places,1,2,2,0,0,1,1,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,1,0,0,0,1,1
성훈이랑 최근에 몇 시에 만났더라?,18.6927,17,5,retrieve_personal_log,text_note,1,2,2,0,0,1,1,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
성훈이랑 최근에 무엇 때문에 만났더라?,22.4367,19,5,retrieve_personal_log,text_note,1,2,2,0,0,1,1,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,1
지난달에 운동 몇 번이나 했지?,12.7229,12,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
지난달에 걷기 몇 번이나 했지?,20.8216,12,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
지난달에 요가 몇 번이나 했지?,15.467,12,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
