queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,TXT_has_question_mark,LING_query_type,LING_tense,LING_has_negation,LING_has_conditional,LING_modality_type,LING_clause_complexity,LING_verb_count,LING_noun_count,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_location_count,SEM_entity_media_count,SEM_entity_finance_count,SEM_entity_health_count,SEM_entity_other_count,SEM_entity_distinct_count,SEM_abstractness,SEM_specificity,SEM_ambiguity,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_multimodal_level,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_required,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,20.0,18.0,4.0,4.5,1.0,0.0,0.0,0.9,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,media,sports,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1,2.0,0.6,2.0,0.8,0.7,2.0,2.0,0.0,2.0
지난주에 찍은 헬스 자세 영상 보여줘,18.18,20.0,18.0,4.0,4.5,1.0,0.0,0.0,0.9,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,media,health,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1,2.0,0.6,2.0,0.8,0.7,2.0,2.0,0.0,2.0
지난주에 찍은 요가 동작 영상 보여줘,26.8976,20.0,18.0,4.0,4.5,1.0,0.0,0.0,0.9,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,media,health,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1,2.0,0.6,2.0,0.8,0.7,2.0,2.0,0.0,2.0
지난주에 찍은 등산 영상 보여줘,7.4636,17.0,15.0,4.0,3.75,1.0,0.0,0.0,0.88,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,media,travel,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1,2.0,0.6,2.0,0.8,0.7,2.0,2.0,0.0,2.0
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,21.0,18.0,5.0,3.6,1.0,0.0,0.0,0.86,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,finance,personal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1,2.0,0.7,2.0,0.9,0.7,2.0,2.0,0.0,2.0
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,20.0,17.0,5.0,3.4,1.0,0.0,0.0,0.85,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,finance,personal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1,2.0,0.7,2.0,0.9,0.7,2.0,2.0,0.0,2.0
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,21.0,18.0,5.0,3.6,1.0,0.0,0.0,0.86,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,finance,personal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3,0.7,0.2,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1,2.0,0.7,2.0,0.9,0.8,2.0,2.0,0.0,2.0
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,19.0,16.0,5.0,3.2,1.0,0.0,0.0,0.84,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,finance,personal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3,0.7,0.2,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1,2.0,0.7,2.0,0.9,0.8,2.0,2.0,0.0,2.0
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,34.0,30.0,8.0,3.75,1.0,1.0,0.0,0.88,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,social,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,32.0,28.0,7.0,4.0,1.0,1.0,0.0,0.88,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,entertainment,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
