queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_has_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_object_count,SEM_abstractness_score,SEM_specificity_score,SEM_ambiguity_score,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_modality_types,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_context_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority_indicator,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,20,17,5,3.4,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,7,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,6,2,7,5,2,1,1.0,
지난주에 찍은 헬스 자세 영상 보여줘,18.18,21,18,5,3.6,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,7,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,6,2,7,5,2,1,1.0,
지난주에 찍은 요가 동작 영상 보여줘,26.8976,21,18,5,3.6,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,7,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,6,2,7,5,2,1,1.0,
지난주에 찍은 등산 영상 보여줘,7.4636,18,15,4,3.75,1,0,0,4.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,6,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,5,2,7,5,2,1,1.0,
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,3,4,4,neutral,4,7,3,8,2,3,2,2.0,
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,3,4,4,neutral,4,7,3,8,2,3,2,2.0,
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,23,20,6,3.33,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,4,5,4,neutral,5,8,4,8,2,3,2,2.0,
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,21,18,6,3.0,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,4,5,4,neutral,5,8,4,8,2,3,2,2.0,
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,36,32,9,3.56,1,1,0,9.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,34,30,8,3.75,1,1,0,8.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,36,32,8,4.0,1,1,0,8.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,36,32,8,4.0,1,1,0,8.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지민이 결혼식 일정 알려줘,11.6698,15,13,4,3.25,1,0,0,4.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,8,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,5,7,4,5,1,1,0,1.0,
지민이 졸업식 일정 알려줘,15.3752,15,13,4,3.25,1,0,0,4.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,8,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,5,7,4,5,1,1,0,1.0,
지민이 돌잔치 일정 알려줘,15.7295,15,13,4,3.25,1,0,0,4.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,8,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,5,7,4,5,1,1,0,1.0,
지민이 생일 알려줘,12.1895,11,9,3,3.0,1,0,0,3.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,7,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,4,6,4,4,1,1,0,1.0,
사려고 찍어둔 와인 사진 다 보여줘,26.8335,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
사려고 찍어둔 신발 사진 다 보여줘,24.4891,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
사려고 찍어둔 옷 사진 다 보여줘,31.3977,20,17,5,3.4,1,0,0,5.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,24,21,6,3.5,1,0,0,6.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
지난주 작성한 강의 필기 찾아줘,26.106,18,15,5,3.0,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_notes,education,0,1,1,2,8,2,2,1,0,0,text_note,2,single,relative,2,3,0,0,2,2,3,neutral,4,7,4,6,2,2,1,2.0,
지난주 작성한 노트 찾아줘,24.2368,15,12,4,3.0,1,0,0,4.0,imperative,past,0,0,0,2,0.8,personal_notes,education,0,1,1,2,7,2,2,1,0,0,text_note,2,single,relative,2,3,0,0,2,2,3,neutral,4,6,4,5,2,2,1,2.0,
지난 주에 찍어둔 강의 영상 찾아줘,20.803,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.8,education,personal_media,0,1,1,2,8,2,2,1,0,0,video,2,single,relative,2,3,0,0,2,2,3,neutral,4,7,4,6,2,2,1,2.0,
지난주 작성한 메모 찾아줘,11.5135,15,12,4,3.0,1,0,0,4.0,imperative,past,0,0,0,2,0.8,personal_notes,none,0,1,1,2,7,2,2,1,0,0,text_note,2,single,relative,2,3,0,0,2,2,3,neutral,3,5,4,4,2,2,1,2.0,
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,27,23,7,3.29,1,0,0,7.0,imperative,past,0,0,0,2,0.8,personal_media,travel,0,1,1,2,7,3,2,1,0,0,image,2,many,relative,2,2,0,0,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,27,23,7,3.29,1,0,0,7.0,imperative,past,0,0,0,2,0.8,personal_media,travel,0,1,1,2,7,3,2,1,0,0,image,2,many,relative,2,2,0,0,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
