queries,MAL,QL_char_len,QL_word_len,QL_has_time_ref,QL_time_granularity,QL_has_future_ref,QL_urgency_level,QL_task_type,QL_data_modalities,QL_personalization_depth,QL_requires_history_span,QL_requires_external_knowledge,QL_location_coupled,QL_output_size_expectation,QL_comparison_required,QL_summary_required,QL_recommender_task,QL_visual_input_ref,QL_social_context,QL_device_likely_mobile,QL_goal_type,QL_question_formality,QL_contains_numeric_amount,QL_financial_domain,QL_health_activity_domain,QL_media_domain,QL_shopping_domain,QL_travel_location_domain,QL_calendar_schedule_domain,QL_chat_analysis,QL_requires_cross_modal,QL_temporal_comparison,QL_long_horizon_planning,QL_preference_learning,QL_cost_savings_focus,QL_weather_coupled,QL_session_length_hint,QL_requires_ranking,QL_requires_structured_output,QL_reference_to_past_recommendation,QL_refers_to_goal_or_target,QL_contains_season_ref,QL_context_phrase_now_here,QL_recall_specific_entity,QL_counting_frequency,QL_language_complexity_proxy,QL_has_explicit_constraint_price,QL_has_explicit_constraint_time_window,QL_has_explicit_constraint_distance,QL_emb_intent_cluster,QL_emb_complexity_axis,QL_emb_personalization_axis
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,20,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난주에 찍은 헬스 자세 영상 보여줘,18.18,20,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난주에 찍은 요가 동작 영상 보여줘,26.8976,20,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난주에 찍은 등산 영상 보여줘,7.4636,17,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,20,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,19,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,20,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,18,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,37,7,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.86,0,0,0,recall_social_media,0.45,0.7
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,33,6,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.83,0,0,0,recall_social_media,0.45,0.7
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,34,6,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.83,0,0,0,recall_social_media,0.45,0.7
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,34,6,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.83,0,0,0,recall_social_media,0.45,0.7
