queries,MAL,QL_char,QL_tokens,task_family,info_source_type,requires_personal_history,requires_aggregation,requires_summarization,requires_generation,temporal_reference_type,time_urgency_level,stakes_level,modality_primary,domain_category,query_goal_specificity,expected_answer_length,interaction_pattern,has_comparative_phrase,has_temporal_diff_phrase,time_window_length,personalization_intensity,needs_location_context,needs_calendar_context,needs_communication_logs,needs_media_history,needs_financial_logs,needs_health_data,recommendation_type,requires_cross_app_integration,requires_similarity_search,requires_visual_understanding,requires_list_dedup_grouping,explicit_output_structure,urgency_phrase_present,planning_horizon,social_context_strength,contains_monetary_amount,monetary_context_type,device_context_implied,cognitive_load_estimate,novelty_seeking,habit_analysis,food_context_type,output_requires_multimedia_creation,output_requires_behavior_change_guidance,embedding_cluster_id,embedding_axis_complexity,embedding_axis_urgency
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
지난주에 찍은 헬스 자세 영상 보여줘,18.18,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
지난주에 찍은 요가 동작 영상 보여줘,26.8976,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
지난주에 찍은 등산 영상 보여줘,7.4636,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,30,7,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
