queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_has_question_mark,TXT_special_char_count,LING_query_type,LING_has_past_reference,LING_has_future_reference,LING_has_modal,LING_has_negation,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_location_count,SEM_entity_finance_flag,SEM_abstractness_score,SEM_specificity_score,SEM_ambiguity_score,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_modality_types,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_context_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority_indicator,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth,TXT_question_mark,LING_tense,LING_has_conditional,SEM_entity_person,SEM_entity_location,SEM_entity_time,SEM_entity_org,SEM_entity_count,SEM_abstractness,SEM_specificity,SEM_ambiguity,TEMP_location_context,INTENT_priority,LING_has_modality,SEM_entity_location_org,TASK_needs_comparison,TXT_text_density,SEM_entity_media_count,SEM_entity_location_flag,SEM_entity_time_flag,TXT_contains_parentheses,LING_clause_count,LING_verb_count,LING_noun_count,SEM_has_person_entity,SEM_has_time_entity,SEM_has_health_entity,TASK_personalization_level,TEMP_time_range_specificity
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,20,17,5,3.4,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,personal_photos,sports,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2,1,0,0,video,1,2,relative,2.0,2,0,0.0,1,1,1.0,neutral,1.0,0.6,3.0,4.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주에 찍은 헬스 자세 영상 보여줘,18.18,21,18,5,3.6,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,personal_photos,sports,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2,1,0,0,video,1,2,relative,2.0,2,0,0.0,1,1,1.0,neutral,1.0,0.6,3.0,4.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주에 찍은 요가 동작 영상 보여줘,26.8976,21,18,5,3.6,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,personal_photos,sports,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2,1,0,0,video,1,2,relative,2.0,2,0,0.0,1,1,1.0,neutral,1.0,0.6,3.0,4.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주에 찍은 등산 영상 보여줘,7.4636,18,15,5,3.0,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,personal_photos,travel,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2,1,0,0,video,1,2,relative,2.0,2,0,0.0,1,1,1.0,nostalgic,1.0,0.6,3.0,4.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,22,19,6,3.17,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.7,documents,finance,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,0,0,photo,2,1,relative,2.0,2,0,0.0,3,4,2.0,anxious_like,3.0,0.67,4.0,5.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,21,18,6,3.0,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.7,documents,finance,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,0,0,photo,2,1,relative,2.0,2,0,0.0,3,4,2.0,anxious_like,3.0,0.67,4.0,5.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,23,20,6,3.33,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.7,documents,finance,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,0,0,photo,2,1,relative,2.0,2,0,0.0,4,5,3.0,anxious_like,3.0,0.83,5.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,20,17,6,2.83,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.7,documents,finance,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,0,0,photo,2,1,relative,2.0,2,0,0.0,4,5,3.0,anxious_like,3.0,0.83,5.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,34,30,8,3.75,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,media,other,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2,1,1,0,video,1,1,relative,2.0,2,0,0.0,2,2,2.0,nostalgic,2.0,0.5,4.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,32,28,8,3.5,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,media,other,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2,1,1,0,video,1,1,relative,2.0,2,0,0.0,2,2,2.0,nostalgic,2.0,0.5,4.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
