queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_question_mark_flag,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_has_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_count,LING_noun_count,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_location_count,SEM_entity_finance_count,SEM_entity_media_count,SEM_entity_health_count,SEM_entity_count_total,SEM_abstractness_score,SEM_specificity_score,SEM_ambiguity_score,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_modality_types,TASK_external_dependency,TASK_expected_result_count,TASK_personalization_level,TASK_steps_implicit,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_historical_vs_realtime,TEMP_location_context_required,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority_indicator,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations_needed,COMP_reasoning_depth
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,22,18,5,3.6,1,0,0,0,5,imperative,past,0,0,0,2,1,3,0.33,personal_photos,sports,0,1,0,0,1,1,3,2,6,3,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,2,2,2,neutral,3,6,2,6,4,3,1,2.0,
지난주에 찍은 헬스 자세 영상 보여줘,18.18,23,19,5,3.8,1,0,0,0,5,imperative,past,0,0,0,2,1,3,0.33,personal_photos,health,0,1,0,0,1,1,3,2,6,3,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,3,3,2,neutral,3,6,2,6,4,3,1,2.0,
지난주에 찍은 요가 동작 영상 보여줘,26.8976,23,19,5,3.8,1,0,0,0,5,imperative,past,0,0,0,2,1,3,0.33,personal_photos,health,0,1,0,0,1,1,3,2,6,3,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,3,3,2,neutral,3,6,2,6,4,3,1,2.0,
지난주에 찍은 등산 영상 보여줘,7.4636,20,16,5,3.2,1,0,0,0,5,imperative,past,0,0,0,2,1,2,0.5,personal_photos,travel,0,1,0,0,1,0,2,2,5,2,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,2,2,2,neutral,3,5,2,5,3,2,1,2.0,
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,24,20,6,3.33,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,7,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,4,4,3,anxious,4,7,9,5,3,3,2,2.0,
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,24,20,6,3.33,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,7,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,4,4,3,anxious,4,7,9,5,3,3,2,2.0,
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,25,21,6,3.5,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,8,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,5,5,3,anxious,5,7,10,5,3,3,2,2.0,
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,22,18,6,3.0,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,8,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,5,5,3,anxious,5,7,10,5,3,3,2,2.0,
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,34,30,8,3.75,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,3,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,3,3,2,3.0,
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,33,29,8,3.62,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,1,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,2,2,1,3.0,
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,35,31,8,3.87,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,1,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,2,2,1,3.0,
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,35,31,8,3.87,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,1,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,2,2,1,3.0,
지민이 결혼식 일정 알려줘,11.6698,16,13,4,3.25,1,0,0,0,4,imperative,future,0,0,0,1,1,2,0.5,events,schedule,1,0,0,0,0,0,1,2,7,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,4,4,3,anxious,5,4,9,3,2,2,1,2.0,
지민이 졸업식 일정 알려줘,15.3752,16,13,4,3.25,1,0,0,0,4,imperative,future,0,0,0,1,1,2,0.5,events,schedule,1,0,0,0,0,0,1,2,7,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,3,3,2,neutral,4,3,8,3,2,2,1,2.0,
지민이 돌잔치 일정 알려줘,15.7295,17,14,4,3.5,1,0,0,0,4,imperative,future,0,0,0,1,1,2,0.5,events,schedule,1,0,0,0,0,0,1,2,7,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,3,3,2,neutral,4,3,8,3,2,2,1,2.0,
지민이 생일 알려줘,12.1895,11,9,3,3.0,1,0,0,0,3,imperative,future,0,0,0,1,1,1,1.0,events,schedule,1,0,0,0,0,0,1,2,6,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,3,3,2,neutral,3,2,7,2,1,1,1,2.0,
사려고 찍어둔 와인 사진 다 보여줘,26.8335,22,18,6,3.0,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
사려고 찍어둔 신발 사진 다 보여줘,24.4891,23,19,6,3.17,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
사려고 찍어둔 옷 사진 다 보여줘,31.3977,21,17,6,2.83,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,24,20,6,3.33,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
지난주 작성한 강의 필기 찾아줘,26.106,18,15,4,3.75,1,0,0,0,4,imperative,past,0,0,0,2,1,2,0.5,notes,education,0,1,0,0,0,0,2,2,7,3,1,1,0,0,1,0,1,2,2,relative,1,2,historical,0,3,3,2,neutral,4,4,7,5,2,2,1,2.0,
